Source,Original ID,Acceptability,Original annotation,Sentence,Material added
SoD-Noun2,4.12a',0,?,Een kilo appels ligt op tafel.,0
SoD-Noun2,4.13a',0,?,Twee liters melk staan in de koelkast.,0
SoD-Noun2,4.30a,0,?,Ik drink een zure fles melk.,1
SoD-Noun2,4.35a,0,?,Een hoop pieren krioelt door elkaar.,0
SoD-Noun2,4.35b,0,?,Een pond pieren krioelen door elkaar.,0
SoD-Noun2,4.42b,0,?,Er waren vijf meters touw over.,0
SoD-Noun2,4.56b,0,?,Deze paar euro's die hij me gaf maken geen verschil.,0
SoD-Noun2,4.56b,0,?,Deze paar euro's maken geen verschil.,0
SoD-Noun2,4.60b,0,?,"Hier ligt mijn pond kaas, en daar het jouwe.",0
SoD-Noun2,4.65a,0,?,Ik heb sommige liters melk.,1
SoD-Noun2,4.71a',0,?,Dat is een gestolen reep chocola.,1
SoD-Noun2,4.71b',0,?,Dat is een gebroken stuk krijt.,1
SoD-Noun2,4.72a',0,?,Dat is een verspreide groep studenten.,1
SoD-Noun2,4.72b',0,?,Dat is een opgeschrikte vlucht kraanvogels.,1
SoD-Noun2,4.78b',0,?,Dat is een kilo onsjes kaas.,1
SoD-Noun2,4.79b',0,?,Dat is een doos kilo's kaas.,1
SoD-Noun2,4.83c,0,?,Ik heb twee liters bier gedronken.,1
SoD-Noun2,4.113b,0,?,Dat zijn vier glazen lekker bier.,1
SoD-Noun2,4.113c,0,?,Dat is het glas lekker bier.,1
SoD-Noun2,4.131b',0,?,Dat zijn twee kilo's van de appels.,1
SoD-Noun2,4.131d',0,?,Dat zijn twee dozen van de appels.,1
SoD-Noun2,4.162b,0,?,Jan zoekt het autosoort.,1
SoD-Noun2,4.167b,0,?,Jan zoekt drie kleuren trui.,1
SoD-Noun2,4.170b,0,?,Peter zoekt een duurt soort auto.,1
SoD-Noun2,4.205b,0,?,Die idioten van een regering zijn nu helemaal gek geworden.,0
SoD-Noun2,4.227d,0,?,Wat voor een iets is dat?,0
SoD-Noun2,4.227d,0,?,Wat voor een iemand is dat?,0
SoD-Noun2,4.235b,0,?,Wat voor een iemand zou je willen uitnodigen?,0
SoD-Noun2,4.243a',0,?,Wat voor rare man met een stok loopt daar?,0
SoD-Noun2,4.243a',0,?,Wat voor een rare man met een stok loopt daar?,0
SoD-Noun2,4.243b',0,?,Wat voor interessant pakje in pakpapier heb je daar?,0
SoD-Noun2,4.243b',0,?,Wat voor een interessant pakje in pakpapier heb je daar?,0
SoD-Noun2,4.248b,0,?,Wat heb je voor boeken in de kast gezet?,0
SoD-Noun2,4.248b,0,?,Wat heb je voor een boeken in de kast gezet?,0
SoD-Noun2,4.256a,0,?,Wat hebben er gisteren voor jongens gevochten?,0
SoD-Noun2,4.256a,0,?,Wat hebben er gisteren voor een jongens gevochten?,0
SoD-Noun2,4.258b,0,?,Wat hebben voor een vogels je voedertafel bezocht?,0
SoD-Noun2,4.259b,0,?,Wie rookt er de sigaar?,0
SoD-Noun2,4.260a,0,?,Wat hebben gisteren voor een vogels je voedertafel bezocht?,0
SoD-Noun2,4.261a,0,?,Wat voor een meisje heb je een lolly gegeven?,0
SoD-Noun2,4.261b,0,?,Wat voor een mensen heb je je artikel toegestuurd?,0
SoD-Noun2,4.274a',0,?,Wat dacht Jan dat hij voor een boeken moest lezen?,0
SoD-Noun2,4.274b,0,?,Wat voor een boeken wist Jan niet dat hij moest lezen?,0
SoD-Noun2,5.36b,0,?,Alle jongens hebben twee keer het lied gezongen.,0
SoD-Noun2,5.69a,0,?,Een ondraaglijk verdriet is moeilijk te bestrijden.,0
SoD-Noun2,5.69b,0,?,Een onzegbaar verdriet kan tot zelfmoord leiden.,0
SoD-Noun2,5.74a',0,?,Het roken van de sigaren irriteert me.,0
SoD-Noun2,5.74a',0,?,Het roken van de sigaar irriteert me.,0
SoD-Noun2,5.77a,0,?,Benzine is weer duur dit jaar.,0
SoD-Noun2,5.92a,0,(?),Jan ziet de geboren Karl Marx.,0
SoD-Noun2,5.140b',0,?,Jan kuste Peter adembenemend.,0
SoD-Noun2,5.167b'',0,?,De man kosten die kaartjes een euro.,0
SoD-Noun2,5.182a,0,?,Hij loopt tegen de dertig jaar.,0
SoD-Noun2,5.182b,0,?,Hij is in de dertig jaar.,0
SoD-Noun2,5.182c,0,?,Hij is de dertig jaar al gepasseerd.,0
SoD-Noun2,5.186c,0,(?),Marie heeft het kind bij Jan in zijn armen geduwd.,0
SoD-Noun2,5.186c,0,(?),Marie heeft het kind bij Jan in de armen geduwd.,0
SoD-Noun2,5.189b,0,?,Hij had een hoed op het hoofd.,0
SoD-Noun2,5.189c,0,?,Hij had geen sokken aan de voeten.,0
SoD-Noun2,5.191a',0,?,Het kind werd in de armen genomen.,0
SoD-Noun2,5.191b',0,?,Het kind werd in de armen gehouden.,0
SoD-Noun2,5.209a,0,?,Geen brief heb ik geschreven maar een memo.,0
SoD-Noun2,5.220b,0,?,Geen schip levert men 100% waterdicht af.,0
SoD-Noun2,5.222b,0,?,Geen computerprogramma heeft dit bedrijf ooit storingsvrij afgeleverd.,0
SoD-Noun2,5.251a',0,?,Ik speel niet piano.,0
SoD-Noun2,5.251b',0,?,Ik rijd niet auto.,0
SoD-Noun2,5.252a,0,?,Jan zegt dat ik niet piano kan spelen.,1
SoD-Noun2,5.252b,0,?,Jan zegt dat ik niet auto kan rijden.,1
SoD-Noun2,5.256a,0,?,De Denen willen eigenlijk helemaal geen Europa.,0
SoD-Noun2,5.256a',0,?,België wil geen Italië worden.,0
SoD-Noun2,5.272a,0,?,Geen komt in aanmerking voor de baan.,0
SoD-Noun2,5.341a',0,?,Iemand heeft gebeld.,0
SoD-Noun2,5.361b,0,?,Jan zoekt een leuk iets.,0
SoD-Noun2,5.367c,0,?,Wie je dat geeft wordt een gelukkig mens.,0
SoD-Noun2,5.406a,0,(?),Deze auto heeft problemen met de motor.,0
SoD-Noun2,5.406b',0,?,De auto staat in de garage. Zijn motor moet nagekeken worden.,0
SoD-Noun2,5.509b,0,?,Het huis uit met deze bal!,0
SoD-Noun2,5.509b,0,?,Het huis uit met de bal!,0
SoD-Noun2,5.509b,0,?,Het huis uit deze bal!,0
SoD-Noun2,5.509b,0,?,Het huis uit de bal!,0
SoD-Noun2,6.12b,0,(?),Jan heeft anderhalf duizend boeken.,0
SoD-Noun1,2.84b,0,?,Dit broodje is met kaas.,0
SoD-Noun1,2.90a,0,(?),Ik heb er de verwoesting van meegemaakt.,0
SoD-Noun1,2.90b,0,?,Ze hebben er de overname van bekritiseerd.,0
SoD-Noun1,2.90c,0,(?),Ze hebben er de expert van stilgelegd.,0
SoD-Noun1,2.91b',0,(?),Zij heeft het geloof erin opgegeven.,0
SoD-Noun1,2.92a',0,?,Ik heb een inleiding er in geschreven.,0
SoD-Noun1,2.92b',0,?,Ik heb een uitbreiding er mee kunnen tegenhouden.,0
SoD-Noun1,2.93a',0,?,Van mijn broer betreur ik het ontslag.,0
SoD-Noun1,2.97b',0,?,Van wie heb jij de vader nog niet gezien?,0
SoD-Noun1,2.99a,0,?,Ik zal het ontslag betreuren van mijn zus.,0
SoD-Noun1,2.99b,0,?,Ik heb de vader gezien van Els.,0
SoD-Noun1,2.102a,0,?,Ik zal van mijn broer zeker het ontslag betreuren.,0
SoD-Noun1,2.111a,0,?,Ik heb de lakens van dit satijn gekocht en de slopen van dat satijn.,0
SoD-Noun1,2.111a,0,?,Ik heb de lakens van dit satijn gekocht.,0
SoD-Noun1,2.113a'',0,?,Van Jan heb ik gisteren een auto gezien.,0
SoD-Noun1,2.114a,0,?,Ik heb de de auto gezien van Jan.,0
SoD-Noun1,2.117a,0,?,Ik zei dat ik het ontslag betreur van die jongen.,1
SoD-Noun1,2.117b,0,?,Ik heb de lakens gekocht van een heel bijzonder soort satijn.,0
SoD-Noun1,2.122a,0,?,Van Jan heb ik zijn werk gecorrigeerd.,0
SoD-Noun1,2.169a,0,?,Hij is de schenker van een Van Gogh.,0
SoD-Noun1,2.194b,0,?,Dat is mijn ouders’ bakker.,1
SoD-Noun1,2.194c,0,?,Die bakker is van mijn ouders.,0
SoD-Noun1,2.195c,0,(?),Deze leraar is van Jan.,0
SoD-Noun1,2.213b',0,?,De arts heeft alle lijders eraan behandeld.,0
SoD-Noun1,2.213c',0,?,Veel luisteraars ernaar klaagden over de slechte ontvangst.,0
SoD-Noun1,2.213d',0,?,Alle klagers erover kregen een vriendelijk antwoord.,0
SoD-Noun1,2.214a',0,?,Van dit schilderij heb ik de maker ontmoet.,0
SoD-Noun1,2.214b',0,?,Van dit toernooi heb ik de organisator gesproken.,0
SoD-Noun1,2.215a,0,?,Dit is het schilderij waarvan ik de maker heb ontmoet.,1
SoD-Noun1,2.215a',0,?,Van welk schilderij heb jij de maker ontmoet?,0
SoD-Noun1,2.215b,0,?,Dat is het toernooi waarvan ik de organisator gesproken heb.,1
SoD-Noun1,2.215b',0,?,Van welk toernooi heb jij de organisator gesproken?,0
SoD-Noun1,2.216a,0,?,Ik heb de maker ontmoet van dit schilderij.,0
SoD-Noun1,2.216b,0,?,Ik heb de organisator gesproken van dit toernooi.,0
SoD-Noun1,2.216c,0,?,Hij weet dat ik de vertelster bewonder van die sterke verhalen.,1
SoD-Noun1,2.217a,0,?,Ik heb van dit schilderij gisteren de maker ontmoet.,0
SoD-Noun1,2.217b,0,?,Ik heb van dit toernooi gisteren de organisator gesproken.,0
SoD-Noun1,2.219a,0,?,Van dit grote bedrag heb ik de schenker aan de kerk ontmoet.,0
SoD-Noun1,2.220a,0,?,Dat is het grote bedrag waarvan ik de schenker heb ontmoet.,1
SoD-Noun1,2.220b,0,?,Van welk groot bedrag heb jij de schenker ontmoet?,0
SoD-Noun1,2.227a',0,?,Zijn klagen over het weer is irritant.,0
SoD-Noun1,2.227a',0,(?),Dit klagen over het weer is irritant.,0
SoD-Noun1,2.233a,0,?,Opbergen van de mappen kost veel tijd.,0
SoD-Noun1,2.233a,0,?,Opbergen van die mappen kost veel tijd.,0
SoD-Noun1,2.233a,0,?,Opbergen van mijn mappen kost veel tijd.,0
SoD-Noun1,2.233b,0,?,De mappen opbergen kost veel tijd.,0
SoD-Noun1,2.233b,0,?,Die mappen opbergen kost veel tijd.,0
SoD-Noun1,2.233b,0,?,Mijn mappen opbergen kost veel tijd.,0
SoD-Noun1,2.235a,0,?,Maken van dit soort sommen is lastig.,0
SoD-Noun1,2.235b,0,?,Behandelen van dit type patiënt kost veel tijd.,0
SoD-Noun1,2.236a,0,?,Het wandelen van de zieken moet worden aangemoedigd.,0
SoD-Noun1,2.236a,0,?,Het wandelen van deze zieken moet worden aangemoedigd.,0
SoD-Noun1,2.236b,0,?,Het opstijgen van deze vliegtuigen maakt te veel lawaai.,0
SoD-Noun1,2.237b,0,?,Het de mappen opbergen kost veel tijd.,0
SoD-Noun1,2.237b,0,?,Het die mappen opbergen kost veel tijd.,0
SoD-Noun1,2.237b,0,?,Het mijn mappen opbergen kost veel tijd.,0
SoD-Noun1,2.239a,0,?,Winnaars de prijzen uitreiken is een feestelijke gelegenheid.,0
SoD-Noun1,2.243b,0,?,Het door artsen behandelen van patiënten kost veel tijd.,0
SoD-Noun1,2.244b,0,?,Het uitreiken van de prijzen door de voorzitter aan de winnaars duurde lang.,0
SoD-Noun1,2.246b,0,?,Uitreiken van prijzen door voorzitters aan winnaars duurt altijd lang.,0
SoD-Noun1,2.247b,0,?,Uitreiken van prijzen door voorzitters aan winnaars van internationale wedstrijden duurt altijd lang.,0
SoD-Noun1,2.248a,0,?,Het patiënten behandelen door artsen kost veel tijd.,0
SoD-Noun1,2.250a,0,(?),Het prijzen uitreiken aan winnaars door voorzitters duurt altijd lang.,0
SoD-Noun1,2.251a,0,(?),Prijzen uitreiken aan winnaars door voorzitters duurt altijd lang.,0
SoD-Noun1,2.256b',0,?,Het laten uitreiken van prijzen aan de winnaars door de voorzitter bleek een goed idee.,1
SoD-Noun1,2.268a',0,?,Maken van sommen is saai.,0
SoD-Noun1,2.268b',0,?,Behandelen van patiënten kost veel tijd.,0
SoD-Noun1,2.269a,0,?,Deze sommen maken is lastig.,0
SoD-Noun1,2.269b,0,?,De koningin behandelen kost veel tijd.,0
SoD-Noun1,2.270b,0,?,Het patiënten behandelen kost veel tijd.,0
SoD-Noun1,2.272a',0,?,Het een appeltje eten in de pauze is een goede gewoonte.,0
SoD-Noun1,2.272b',0,?,Het je appeltje opeten in de pauze is een goede gewoonte.,0
SoD-Noun1,2.282b',0,?,Dat prijzen uitreiken duurde lang.,0
SoD-Noun1,2.283b,0,?,Dat cadeaus geven door Sinterklaas is een oude traditie.,0
SoD-Noun1,2.285a,0,?,Zijn geven van cadeaus is een oude traditie.,0
SoD-Noun1,2.285a,0,?,Zijn geven van de cadeaus is een oude traditie.,0
SoD-Noun1,2.287a,0,?,Kinderen cadeaus geven is een oude traditie.,0
SoD-Noun1,2.287b,0,?,Winnaars prijzen uitreiken duurt altijd lang.,0
SoD-Noun1,2.288a',0,?,Geven van cadeaus aan kinderen is een oude traditie.,0
SoD-Noun1,2.290a,0,?,Het kinderen cadeaus geven is een oude traditie.,0
SoD-Noun1,2.290a',0,?,Het cadeaus aan de kinderen geven is een oude traditie.,0
SoD-Noun1,2.290b,0,?,Dat winnaars prijzen uitreiken duurt altijd lang.,0
SoD-Noun1,2.290b',0,?,Dat prijzen aan de winnaars uitreiken duurt lang.,0
SoD-Noun1,2.293a,0,?,Dat kinderen cadeaus geven door Sinterklaas is een oude traditie.,1
SoD-Noun1,2.293b,0,?,Dat cadeaus geven aan kinderen door Sinterklaas is een oude traditie.,1
SoD-Noun1,2.293b',0,?,Dat cadeaus aan kinderen geven door Sinterklaas is een oude traditie.,1
SoD-Noun1,2.294a,0,?,Zijn geven van cadeaus aan kinderen is een oude traditie.,0
SoD-Noun1,2.297a,0,?,Het op groot wild jagen is verachtelijk.,0
SoD-Noun1,2.297a,0,?,Het op groot wild jagen van adellijke heren is verachtelijk.,0
SoD-Noun1,2.297c,0,?,Het jagen van adellijke heren op groot wild is verachtelijk.,0
SoD-Noun1,2.300b,0,?,Aanbevelen van bejaarden voor deze baan is slim.,0
SoD-Noun1,2.301b,0,?,Het bejaarden voor deze baan aanbevelen is slim.,0
SoD-Noun1,2.301b,0,?,Het bejaarden aanbevelen voor deze baan is slim.,0
SoD-Noun1,2.307b',0,?,Het je grootste vijand als je vriend beschouwen is dwaas.,0
SoD-Noun1,2.307b',0,?,Het je grootste vijand beschouwen als je vriend is dwaas.,0
SoD-Noun1,2.308a,0,(?),Jan tot voorzitter van de vereniging benoemen is verstandig.,0
